O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
662277,107434,O,201921.03,1997-08-24,4-NOT SPECIFIED,Clerk#000000726,0,s use stealthily. silent 
1189348,111328,O,81582.59,1997-11-14,1-URGENT,Clerk#000000141,0,tegrate bravely even packages. 
3765062,76715,O,191001.53,1997-09-11,2-HIGH,Clerk#000000794,0,"he brave, special requests. doggedly ruthless instructions affix slyly i"
962215,128992,O,48548.04,1997-12-06,2-HIGH,Clerk#000000390,0,to beans after the dinos boost slyly bold requests. quickly final deposits sle
671431,87835,O,122635.08,1997-09-11,1-URGENT,Clerk#000000393,0,gainst the silently 
3797440,126845,O,243394.94,1997-11-15,1-URGENT,Clerk#000000643,0, the regular instructions hang blithely final req
869475,89434,O,158048.36,1997-11-18,3-MEDIUM,Clerk#000000028,0,thely ironic accounts wake blithely carefully unusu
4630310,146390,O,243215.55,1997-08-14,5-LOW,Clerk#000000350,0,y deposits. furiously final multipliers haggle blithely furiously final a
4275809,97325,O,185403.07,1997-10-23,1-URGENT,Clerk#000000902,0,he carefully ironic theodolites. furiously eve
4354948,137126,O,160221.68,1997-11-02,1-URGENT,Clerk#000000438,0,ajole idly-- blithely r
4295781,32213,O,188670.10,1997-10-06,2-HIGH,Clerk#000000778,0,onic packages: carefully ruthless accounts a
2615012,64336,O,292477.91,1997-09-28,5-LOW,Clerk#000000828,0,ironic requests kindl
2439392,88964,O,181619.48,1997-11-16,3-MEDIUM,Clerk#000000878,0,lly blithely final 
168775,123094,O,341146.02,1997-12-21,3-MEDIUM,Clerk#000000633,0,althily requests. unusual excuses must have t
5576388,116122,O,186234.52,1997-11-07,5-LOW,Clerk#000000815,0,ngside of the slyly final warhorses haggle fluffily
1505637,58598,O,58153.40,1997-10-16,2-HIGH,Clerk#000000291,0, furiously express asymptotes. blithely
686116,93995,O,186557.63,1997-11-15,5-LOW,Clerk#000000826,0,unts sleep quickly. carefully special foxes 
1592288,53965,O,217508.50,1997-09-16,4-NOT SPECIFIED,Clerk#000000580,0,es. carefully unusual forges sleep. even excuses ha
3702694,101767,O,53566.62,1997-08-29,2-HIGH,Clerk#000000712,0,eodolites. quickly special accounts sleep s
478275,19411,O,97031.71,1997-11-21,4-NOT SPECIFIED,Clerk#000000306,0," according to the even, final instructions sleep s"
3237088,10696,O,92414.71,1997-09-17,2-HIGH,Clerk#000000381,0, excuses doubt carefully quickl
1518369,130681,O,202247.67,1997-10-29,3-MEDIUM,Clerk#000000422,0,lly regular pinto b
1797088,105652,O,230547.43,1997-10-18,1-URGENT,Clerk#000000092,0,"ructions. regular, final theodolites use at the accounts. s"
2814630,144103,O,60357.19,1997-12-19,4-NOT SPECIFIED,Clerk#000000052,0," the ironic, special accounts"
1298434,41012,O,179069.10,1997-11-12,1-URGENT,Clerk#000000587,0,ely unusual ideas cajole carefully. 
73572,22510,O,332082.92,1997-08-17,1-URGENT,Clerk#000000944,0, unusual accounts detect blithely a
371267,3946,O,243191.66,1997-10-08,2-HIGH,Clerk#000000198,0, dogged waters. slyly pending pinto beans detec
110531,24619,O,215055.52,1997-09-25,1-URGENT,Clerk#000000794,0, around the quickly ironic packages. even
2806983,77180,O,228778.67,1997-09-03,5-LOW,Clerk#000000042,0,to beans use furiously bold packages. deposi
3124770,21581,O,234865.37,1997-11-15,4-NOT SPECIFIED,Clerk#000000112,0,play quickly against the blithely pending dependencies. furi
3319239,119636,O,253063.34,1997-11-05,4-NOT SPECIFIED,Clerk#000000891,0, packages use blithely slyly ironic asymptote
1895942,29015,O,191749.23,1997-09-19,2-HIGH,Clerk#000000948,0,t the quickly final foxes. f
3042116,122848,O,104868.53,1997-10-20,4-NOT SPECIFIED,Clerk#000000589,0,ent instructions along the fluf
3926370,139342,O,84823.91,1997-10-24,3-MEDIUM,Clerk#000000361,0,ly regular asymptotes haggle carefully above t
4133056,112222,O,120278.85,1997-09-08,2-HIGH,Clerk#000000953,0,r instructions. blithely bold dep
4021188,120193,O,308616.93,1997-09-20,3-MEDIUM,Clerk#000000086,0,y regular packages with the idly sil
2254245,115076,O,252427.67,1997-11-26,2-HIGH,Clerk#000000475,0,"xpress, even foxes nag theodolites. enticingly pending packages sleep sly"
1943398,72325,O,254048.17,1997-12-07,2-HIGH,Clerk#000000601,0, busily. quickly final sauternes must have to wake. furiously
2246311,15403,O,115495.94,1997-11-14,3-MEDIUM,Clerk#000000504,0,nd blithely. instructions run furiously above the pack
2316192,124042,O,108114.46,1997-11-08,5-LOW,Clerk#000000353,0, deposits are slyly eve
2197120,88637,O,116735.89,1997-08-17,1-URGENT,Clerk#000000055,0,posits are furiously carefull
2221761,16502,O,233439.58,1997-09-26,4-NOT SPECIFIED,Clerk#000000587,0,ironic packages above the pending accounts haggl
3923396,122788,O,122757.75,1997-12-14,2-HIGH,Clerk#000000874,0,p about the express dolphins. furiously ironic pinto beans are furiously reg
521350,54022,O,185166.63,1997-09-28,5-LOW,Clerk#000000717,0,ts among the carefully unusual accounts sleep across th
157795,128872,O,136596.86,1997-11-28,4-NOT SPECIFIED,Clerk#000000756,0,"e alongside of the unusual, even i"
5411526,148556,O,197060.71,1997-10-11,3-MEDIUM,Clerk#000000707,0,blithely bold packa
5685348,88561,O,69720.48,1997-10-13,4-NOT SPECIFIED,Clerk#000000712,0,"ronic dependencies-- pending, even req"
5604230,110932,O,235723.55,1997-12-18,3-MEDIUM,Clerk#000000525,0,g the furiously bold gifts. slyly special deposits sleep furiously. carefull
5693959,65734,O,173763.58,1997-10-25,5-LOW,Clerk#000000988,0,ages. instructions after the f
5317186,52711,O,242269.05,1997-09-29,3-MEDIUM,Clerk#000000291,0,e slyly pending packages. even ideas sleep bravely
5552801,24862,O,180789.87,1997-09-17,5-LOW,Clerk#000000803,0,ly ironic excuses. slyly final packages cajole blithely among the asympt
5625058,37027,O,228530.26,1997-10-20,2-HIGH,Clerk#000000183,0,imes after the blithely final dugou
4564103,97714,O,259628.23,1997-11-30,3-MEDIUM,Clerk#000000642,0,ites are. fluffily even instructions haggle fu
1078596,18520,O,329389.88,1997-12-13,4-NOT SPECIFIED,Clerk#000000296,0,es. slyly pending deposits nag
1142343,46802,O,272418.94,1997-10-21,4-NOT SPECIFIED,Clerk#000000977,0,yly regular courts above the quickly final asymptotes nag furiously fl
4728962,102871,O,237006.01,1997-12-19,2-HIGH,Clerk#000000308,0,ly even theodolites sublate carefully. deposits
5949670,130438,O,218868.95,1997-11-16,1-URGENT,Clerk#000000910,0,efully ruthless packages. bold deposits across the instructions se
5432708,28186,O,63924.70,1997-11-18,4-NOT SPECIFIED,Clerk#000000452,0,de of the quickly ent
3373251,20914,O,124715.17,1997-11-04,4-NOT SPECIFIED,Clerk#000000401,0,osits alongside of the blithely quiet deposits may are blithely about the sl
1460103,141043,O,132934.70,1997-12-17,5-LOW,Clerk#000000689,0,"the final instructions. carefully regular requests sleep finally-- brave, i"
1556678,146435,O,250738.21,1997-09-09,3-MEDIUM,Clerk#000000779,0,regular accounts cajole in 
2623685,125341,O,306619.17,1997-10-05,1-URGENT,Clerk#000000809,0,d packages use furiously 
1775078,76858,O,210462.51,1997-09-16,2-HIGH,Clerk#000000872,0,ly carefully unusual requests. slyly final courts
2535429,93475,O,309765.72,1997-09-12,4-NOT SPECIFIED,Clerk#000000859,0,st packages. furiousl
111585,25165,O,293418.65,1997-09-06,2-HIGH,Clerk#000000133,0,"ual warthogs. pending, pen"
108550,111110,O,305336.26,1997-12-09,1-URGENT,Clerk#000000444,0,about the requests. fluffily regular excuses us
363842,146810,O,148738.37,1997-12-16,1-URGENT,Clerk#000000878,0,iously slyly even patterns.
127809,1477,O,323849.60,1997-09-30,1-URGENT,Clerk#000000365,0,"le quickly about the regular, regular instructions; deposits against "
395619,33533,O,138782.03,1997-10-21,4-NOT SPECIFIED,Clerk#000000927,0,g the silent accounts haggle express accounts. furiously regular foxes nag a
190789,145514,O,321984.22,1997-09-14,3-MEDIUM,Clerk#000000501,0, ironic deposits. quickly regular pinto beans nag eve
1107648,67333,O,197088.50,1997-10-05,4-NOT SPECIFIED,Clerk#000000666,0,"e slyly special deposits. regular, permanent accounts"
692262,52423,O,137423.31,1997-11-13,5-LOW,Clerk#000000443,0,requests according to the requests are pendin
709088,14419,O,173475.09,1997-09-02,2-HIGH,Clerk#000000043,0,"blithely. fluffily silent requests boost final, unusual requests. ca"
4644647,14647,O,129626.56,1997-09-28,3-MEDIUM,Clerk#000000889,0,"age after the carefully sly pinto beans. final, bold packages before the fina"
4540356,113398,O,266018.60,1997-09-29,1-URGENT,Clerk#000000309,0,sly final courts detect across the c
2726883,36611,O,302143.25,1997-10-17,5-LOW,Clerk#000000940,0, blithely brave pint
5534465,10283,O,315112.58,1997-10-20,3-MEDIUM,Clerk#000000397,0,ges: bold deposits do
4425060,125272,O,73873.51,1997-11-15,3-MEDIUM,Clerk#000000643,0,s cajole closely regular packages. blithely final packages use carefully alo
1221669,84391,O,160981.36,1997-11-22,5-LOW,Clerk#000000783,0,egular theodolites. carefu
662720,136408,O,192599.66,1997-10-09,3-MEDIUM,Clerk#000000675,0, ironic ideas. even deposits might cajole quickly regular theodolite
634181,130006,O,122965.25,1997-09-18,2-HIGH,Clerk#000000226,0,ost fluffily after the bravely eve
1175968,121721,O,302823.86,1997-09-27,2-HIGH,Clerk#000000580,0,e blithely. carefully sile
618534,81493,O,124250.30,1997-10-16,4-NOT SPECIFIED,Clerk#000000144,0,ckages eat carefully quickly
2815392,97496,O,258005.37,1997-11-21,4-NOT SPECIFIED,Clerk#000000555,0,wake slyly regular deposits. sl
2990278,81635,O,26837.59,1997-08-15,2-HIGH,Clerk#000000526,0,s above the accounts are across the quick
1374819,78310,O,232454.95,1997-08-28,3-MEDIUM,Clerk#000000732,0,refully across the fluffily regular packages. special
3262307,54478,O,129780.75,1997-11-07,3-MEDIUM,Clerk#000000665,0, against the finally special ideas. quickly bold requests nag furious
2600484,134059,O,163484.99,1997-09-14,2-HIGH,Clerk#000000473,0,es alongside of the slyly final packages are against the 
5265989,130666,O,191709.43,1997-10-19,4-NOT SPECIFIED,Clerk#000000243,0,eep blithely after the carefully even deposits. enticingly
2582438,137461,O,22954.81,1997-12-03,4-NOT SPECIFIED,Clerk#000000817,0,aphs. carefully bold theodol
449539,139156,O,196980.85,1997-10-17,4-NOT SPECIFIED,Clerk#000000315,0,"onic foxes are. regular, express "
373729,138557,O,147166.43,1997-10-27,5-LOW,Clerk#000000258,0,efully special packages above the regular pinto beans are above the sly
2727008,106721,O,282303.75,1997-11-12,4-NOT SPECIFIED,Clerk#000000505,0,"d, ironic accounts. quickly ironic ideas sleep furiously requests."
3372419,114196,O,216924.53,1997-10-23,5-LOW,Clerk#000000524,0,g the carefully regular ideas. final instructions among th
2276867,73801,O,257574.20,1997-10-03,3-MEDIUM,Clerk#000000203,0,uests. ironic sheaves among the pinto beans ha
1930983,34175,O,328241.29,1997-09-09,1-URGENT,Clerk#000000378,0,ously even packages! slyly special gifts are. alw
5394564,112228,O,102648.34,1997-08-15,2-HIGH,Clerk#000000842,0,"l, regular dolphins. final packages snooze regular, final de"
3690662,109771,O,90980.60,1997-09-08,2-HIGH,Clerk#000000941,0,"de of the even, even ideas. blithely silent accou"
4171523,44410,O,231486.14,1997-10-18,2-HIGH,Clerk#000000920,0,sts are until the close accounts.
4083397,22747,O,265495.14,1997-11-16,3-MEDIUM,Clerk#000000949,0,ld requests lose slyly final 
2107970,133729,O,197999.55,1997-10-05,5-LOW,Clerk#000000260,0,uffily even sauternes wake furiously carefull
3779463,134749,O,218094.91,1997-09-06,2-HIGH,Clerk#000000622,0," express accounts: special, ex"
3661440,112819,O,162935.22,1997-11-14,1-URGENT,Clerk#000000891,0,e across the deposits. ruthl
4840421,100195,O,140815.72,1997-10-11,2-HIGH,Clerk#000000508,0,dencies cajole according to the slyly ironic requests. slyly ironic packag
2934115,20758,O,224870.97,1997-11-30,5-LOW,Clerk#000000216,0,excuses. blithely regular packages use. re
4935587,1085,O,40097.73,1997-12-11,5-LOW,Clerk#000000861,0,"fully above the even accounts. express requests sleep carefully even, un"
5182374,41759,O,104998.84,1997-10-25,5-LOW,Clerk#000000043,0,beans poach slyly. carefully express reques
2921731,108151,O,209320.82,1997-09-20,3-MEDIUM,Clerk#000000569,0, instructions. carefully iro
263584,7220,O,279787.10,1997-09-05,5-LOW,Clerk#000000072,0,cuses. blithely ironic deposits are quickly across the quiet pa
2987171,8914,O,252537.61,1997-12-16,1-URGENT,Clerk#000000026,0,ly silent packages are carefully. regular requests breach quickly after the
5808455,14377,O,196165.99,1997-10-12,2-HIGH,Clerk#000000634,0,p quickly. slyly ironic deposits w
5468295,60629,O,191616.81,1997-09-18,3-MEDIUM,Clerk#000000020,0,inal packages. furiously final instructio
5471365,27184,O,117409.38,1997-11-04,1-URGENT,Clerk#000000269,0,ake bold pinto beans. qu
5663271,109969,O,182219.06,1997-11-02,2-HIGH,Clerk#000000644,0,the carefully silent p
1100644,83182,O,201554.81,1997-09-18,1-URGENT,Clerk#000000159,0,structions maintain furiously across the quickly final theodolit
4222181,11420,O,165823.15,1997-09-15,4-NOT SPECIFIED,Clerk#000000476,0,y final requests wake carefully along the
839201,65507,O,217581.91,1997-10-13,5-LOW,Clerk#000000610,0,"y final braids. deposits use. unusual, regular dolphins integ"
5685090,79291,O,162629.99,1997-09-12,4-NOT SPECIFIED,Clerk#000000041,0,even dependencies. furiously regular acc
628422,146698,O,258082.55,1997-12-23,1-URGENT,Clerk#000000822,0,c instructions detect around the furiously ironic
2173316,125416,O,330080.61,1997-09-25,2-HIGH,Clerk#000000449,0, across the furiously special deposits. theod
3269508,75776,O,319696.15,1997-10-17,4-NOT SPECIFIED,Clerk#000000254,0,ffy foxes unwind slyly after the slyly final accounts. furiously special 
3016551,55538,O,233683.17,1997-09-16,4-NOT SPECIFIED,Clerk#000000883,0,about the blithely careful instructions. idly bold foxes c
3483458,56309,O,237182.41,1997-09-22,2-HIGH,Clerk#000000372,0,the slowly ironic multipliers. blithely unusual foxes use
1716135,95711,O,196399.59,1997-10-06,5-LOW,Clerk#000000817,0,iously. blithely pending id
1579844,96766,O,163439.55,1997-11-09,1-URGENT,Clerk#000000415,0,egrate carefully carefully express depend
1742566,89638,O,249660.29,1997-12-11,3-MEDIUM,Clerk#000000369,0, foxes. quickly regular ideas wake carefully above th
3742020,73169,O,166065.63,1997-09-02,1-URGENT,Clerk#000000914,0,ng to the slyly regular requests. slyly even packages w
114373,38302,O,205165.19,1997-11-24,3-MEDIUM,Clerk#000000460,0,nal dependencies haggle furiousl
128196,141139,O,277983.83,1997-12-14,4-NOT SPECIFIED,Clerk#000000006,0,less pinto beans kindle. slyly ironic ideas daz
538503,140210,O,133566.84,1997-11-27,2-HIGH,Clerk#000000018,0,to beans; carefully special packages
278789,74248,O,166325.65,1997-09-15,3-MEDIUM,Clerk#000000924,0," are. blithely unusual requests are final, ironic notornis; quickl"
936579,13396,O,49622.44,1997-10-08,2-HIGH,Clerk#000000786,0,y regular foxes? pinto b
1088804,86110,O,145712.29,1997-12-13,2-HIGH,Clerk#000000264,0,into beans. blithel
1152614,105191,O,247556.26,1997-09-16,4-NOT SPECIFIED,Clerk#000000945,0,ial dependencies. quickly reg
4724416,55999,O,196614.09,1997-10-12,2-HIGH,Clerk#000000034,0,yly after the blithely final dolphins. fluffily special packages mol
5999206,51442,O,134970.64,1997-11-29,2-HIGH,Clerk#000000398,0,ring courts impress quickly final deposits. 
1931008,14128,O,162360.49,1997-11-04,2-HIGH,Clerk#000000394,0,counts haggle. quickly ironic excuses nag quickly 
2225729,149729,O,112720.34,1997-08-17,2-HIGH,Clerk#000000841,0,uriously. final gifts print furiously busy pinto bea
5412835,13432,O,118827.69,1997-08-26,3-MEDIUM,Clerk#000000398,0,pinto beans. carefully regular theodoli
1938465,19840,O,152187.06,1997-09-15,5-LOW,Clerk#000000013,0,unts solve enticingly final deposits. furi
5984544,109561,O,113096.67,1997-10-02,3-MEDIUM,Clerk#000000329,0,nal ideas. pending requests boost along th
125219,25810,O,221396.58,1997-09-14,5-LOW,Clerk#000000348,0,"ual packages. enticing, special requests above the fluffily reg"
368643,70708,O,92789.61,1997-11-01,4-NOT SPECIFIED,Clerk#000000502,0,requests doubt carefully the
217031,147494,O,233733.78,1997-12-23,3-MEDIUM,Clerk#000000612,0,"re even, final account"
3635746,80312,O,208478.11,1997-08-31,4-NOT SPECIFIED,Clerk#000000601,0,"inal pinto beans after the deposits are across the final, special depend"
5574438,104353,O,167535.78,1997-09-16,4-NOT SPECIFIED,Clerk#000000058,0,y final pains integrate slyly requests. instructions above the quickly
3991585,91231,O,174995.48,1997-09-09,4-NOT SPECIFIED,Clerk#000000307,0,tructions haggle according to the regular a
4659202,116845,O,67023.79,1997-09-23,4-NOT SPECIFIED,Clerk#000000214,0,ly bold instructions boost across the asymptotes. regular packages sleep slyly
4576390,56357,O,167544.81,1997-12-26,4-NOT SPECIFIED,Clerk#000000184,0,lly final foxes. furiously regular requests cajole about th
5309220,81772,O,62814.65,1997-09-01,4-NOT SPECIFIED,Clerk#000000201,0,"osits was after the regular, "
2588513,89135,O,319552.33,1997-09-12,3-MEDIUM,Clerk#000000862,0, regular instructions cajole quickly against the
2613828,58678,O,281423.66,1997-12-02,3-MEDIUM,Clerk#000000810,0,lyly bold instructions. packages alo
5218309,21041,O,159126.45,1997-11-13,1-URGENT,Clerk#000000751,0,"al, unusual theodolites against the even requests wake quickly above th"
2842373,99271,O,305641.80,1997-10-25,5-LOW,Clerk#000000261,0,bold theodolites nag. blithely 
5365249,39097,O,211971.77,1997-09-06,1-URGENT,Clerk#000000204,0,about the pinto beans. requests cajo
2786917,118693,O,75003.13,1997-11-24,1-URGENT,Clerk#000000931,0, the carefully regular deposits ar
5095109,57226,O,258950.78,1997-09-15,5-LOW,Clerk#000000054,0,"fter the express, express courts. fluffily ironic foxes according to"
5022754,84934,O,137104.63,1997-09-25,5-LOW,Clerk#000000736,0,y pending requests. slyly silent requests cajole ironic deposits. fluffily 
3056420,135484,O,219107.52,1997-11-04,2-HIGH,Clerk#000000914,0,ests haggle about the
3367589,58831,O,183073.09,1997-11-27,5-LOW,Clerk#000000072,0,osits. fluffily express inst
3304420,22498,O,79843.66,1997-11-08,1-URGENT,Clerk#000000739,0,ests. foxes sleep about the furiousl
3559427,547,O,131443.63,1997-11-05,4-NOT SPECIFIED,Clerk#000000725,0,y along the final accounts. furiously even depths print. accounts
2854852,106559,O,130845.75,1997-08-27,2-HIGH,Clerk#000000318,0,eans print furiously--
5196102,136378,O,322484.99,1997-10-31,4-NOT SPECIFIED,Clerk#000000912,0,eposits. carefully final instructions nag regular accou
2425926,81166,O,135394.59,1997-12-21,5-LOW,Clerk#000000230,0,xpress pinto beans across t
1667969,91942,O,290696.74,1997-10-11,4-NOT SPECIFIED,Clerk#000000293,0,"mpress slyly carefully even requests. unusual, even theodolites wak"
1437925,53923,O,247468.00,1997-12-10,4-NOT SPECIFIED,Clerk#000000810,0,s wake regularly above the blithely pending sheaves. qu
2025575,34498,O,197865.62,1997-10-11,3-MEDIUM,Clerk#000000535,0,lly sly pinto beans
5773185,80815,O,172588.10,1997-10-10,5-LOW,Clerk#000000271,0, carefully. accounts above the blithely regu
63234,15619,O,259119.62,1997-12-23,3-MEDIUM,Clerk#000000358,0,regular frets cajole against the bold foxes. furiously ironic platelets wa
4198373,141814,O,239645.13,1997-11-14,1-URGENT,Clerk#000000159,0,"es wake blithely bold, special depths. ironic asymptotes with the slyly re"
2169319,88700,O,146546.84,1997-10-17,1-URGENT,Clerk#000000241,0,deposits haggle. fluffily final accounts sublate never b
5832577,103144,O,50450.17,1997-09-18,4-NOT SPECIFIED,Clerk#000000947,0,ven requests sleep carefully
5418662,48692,O,58637.23,1997-09-27,2-HIGH,Clerk#000000961,0,sts are fluffily according to the blith
5685189,29323,O,175259.03,1997-10-18,4-NOT SPECIFIED,Clerk#000000160,0,ss foxes. idly unusual packag
3657380,61775,O,195393.17,1997-10-03,3-MEDIUM,Clerk#000000166,0,"ar, bold packages. ironic, even theodolites"
2338016,96815,O,149601.35,1997-12-25,1-URGENT,Clerk#000000976,0,lithely unusual pinto beans. furiously regular pinto beans thrash
4120615,117898,O,238759.55,1997-08-21,2-HIGH,Clerk#000000464,0,oss the bold deposits cajole furiou
4369282,3653,O,211478.28,1997-08-23,3-MEDIUM,Clerk#000000091,0,platelets. regular deposits cajole carefully arou
2448067,128791,O,214618.64,1997-10-08,4-NOT SPECIFIED,Clerk#000000882,0,s accounts after th
2436673,138371,O,87128.14,1997-11-28,3-MEDIUM,Clerk#000000598,0, against the ironic deposits. special requests use above the express foxes. q
2641922,131623,O,82564.44,1997-10-05,1-URGENT,Clerk#000000357,0,posits. regular requests above the regular packages wake carefully 
3241635,91055,O,204150.69,1997-12-15,1-URGENT,Clerk#000000392,0,y quickly express pinto beans. furiously 
3234246,81358,O,325418.54,1997-11-17,4-NOT SPECIFIED,Clerk#000000186,0,ccounts. regular excuses sleep carefully 
2826309,105280,O,314222.69,1997-09-10,2-HIGH,Clerk#000000336,0,ffily regular requests do haggle bl
2505955,65696,O,69197.40,1997-09-28,4-NOT SPECIFIED,Clerk#000000856,0,its. slowly regular foxes are slyly. furiously final theodolites in
4888992,148979,O,219225.54,1997-09-25,3-MEDIUM,Clerk#000000433,0,des. quickly bold accounts sleep furiously fi
1594629,97384,O,336247.91,1997-12-18,3-MEDIUM,Clerk#000000568,0, express dependencies breach blithe
5174756,77090,O,48576.24,1997-11-07,2-HIGH,Clerk#000000298,0,ages are after the blithely bold requests. car
108518,95143,O,289764.02,1997-12-14,2-HIGH,Clerk#000000192,0,s. carefully final 
628391,40426,O,274493.12,1997-09-04,3-MEDIUM,Clerk#000000008,0,sly blithely regular somas. furiously regular excuses sleep furiously af
2050403,129412,O,225546.87,1997-12-01,3-MEDIUM,Clerk#000000520,0,ter the bold accounts 
25893,274,O,122959.22,1997-09-16,1-URGENT,Clerk#000000431,0,uick requests. slyly special packages cajole. quickly regular deposi
4327142,60320,O,147357.31,1997-12-03,2-HIGH,Clerk#000000726,0," pending accounts-- regular, regular packages nag caref"
2673926,123979,O,50050.26,1997-10-27,1-URGENT,Clerk#000000078,0,dolites haggle furiously. deposits are sp
1796037,25825,O,154690.55,1997-11-20,3-MEDIUM,Clerk#000000386,0,ly. fluffily regula
1726117,102851,O,106413.70,1997-10-18,1-URGENT,Clerk#000000430,0,s. even deposits cajole ruthlessly express deposits. slyly bold packages ha
1797509,86732,O,22703.44,1997-09-18,2-HIGH,Clerk#000000302,0,ully regular asymptotes 
5181541,84611,O,256265.50,1997-09-22,5-LOW,Clerk#000000807,0, quickly furious requests. slyly express deposi
1948485,125347,O,217633.40,1997-12-16,4-NOT SPECIFIED,Clerk#000000760,0, slowly instructions
2182563,129224,O,250752.14,1997-09-29,1-URGENT,Clerk#000000421,0,unts. final accounts integrate furiously. carefully ironic pinto beans use bli
337121,76924,O,232447.72,1997-11-08,2-HIGH,Clerk#000000734,0,nal multipliers cajole. carefully even foxes
2288581,25978,O,132067.45,1997-09-08,3-MEDIUM,Clerk#000000814,0,fluffily express platelets a
2353379,45043,O,89436.17,1997-11-17,5-LOW,Clerk#000000302,0,sts. furiously final requests nag carefully ac
5818535,116425,O,218543.73,1997-09-14,1-URGENT,Clerk#000000827,0,equests are above the pending foxes. furiously 
5973159,34591,O,146176.36,1997-12-29,4-NOT SPECIFIED,Clerk#000000584,0,ironic packages. regula
5922887,52087,O,49982.34,1997-08-27,4-NOT SPECIFIED,Clerk#000000335,0,"ly bold pinto beans. unusual, ironic theodolites wa"
2122274,101092,O,236851.22,1997-12-17,5-LOW,Clerk#000000045,0," enticing, ironic excuses haggle closely. silently silent "
2353025,104167,O,201315.23,1997-09-01,4-NOT SPECIFIED,Clerk#000000173,0,ending deposits are evenly between the furiously bold depo
5497606,101608,O,233268.98,1997-10-31,3-MEDIUM,Clerk#000000822,0, carefully pending accounts cajole permanently final tithes. quickly
4368420,54637,O,137046.63,1997-12-10,1-URGENT,Clerk#000000736,0," bold, regular excuses cajole carefully instructi"
2505507,143918,O,103787.88,1997-09-18,1-URGENT,Clerk#000000991,0,le. blithely final packages use alongside of
2446978,60833,O,221460.34,1997-09-23,1-URGENT,Clerk#000000024,0,nts. special requests cajole. 
2625863,44224,O,314966.49,1997-12-10,2-HIGH,Clerk#000000089,0,ual patterns try to nag slyly final packa
2805700,83086,O,360231.50,1997-11-05,2-HIGH,Clerk#000000994,0, slyly final packages. blithely regular forges sleep after the d
5300195,51374,O,154682.26,1997-11-23,4-NOT SPECIFIED,Clerk#000000017,0,"y regular instructions. special, bold instructions play fluffily."
3436544,83255,O,432782.67,1997-09-25,5-LOW,Clerk#000000613,0,ts could hang furiously against the ironic theodolites. quickly regular depos
3198722,60950,O,141972.24,1997-12-09,3-MEDIUM,Clerk#000000482,0,deposits haggle above the fluffily
3050470,74392,O,44186.94,1997-10-23,5-LOW,Clerk#000000641,0,press theodolites. regular pinto beans haggle furiously since the regular i
5164359,114946,O,194464.55,1997-11-03,4-NOT SPECIFIED,Clerk#000000658,0,re fluffily carefully ironic deposits. even packages sle
5349696,131144,O,160088.82,1997-12-08,4-NOT SPECIFIED,Clerk#000000169,0,regular ideas. special attainments against the s
5075425,141319,O,310426.49,1997-10-30,3-MEDIUM,Clerk#000000207,0,furiously regular asympt
2717953,18956,O,148319.38,1997-11-07,3-MEDIUM,Clerk#000000909,0,phins about the furiously special pinto beans haggle requests. furiousl
1488775,6331,O,90874.41,1997-10-09,4-NOT SPECIFIED,Clerk#000000494,0,nic sauternes above the final packages integrate blithely at the expr
1546243,89887,O,121230.03,1997-11-10,4-NOT SPECIFIED,Clerk#000000285,0,instructions thrash among the quiet grouches. car
2329314,51187,O,75876.61,1997-12-18,1-URGENT,Clerk#000000077,0, fluffily final platel
521569,116144,O,189316.71,1997-11-27,1-URGENT,Clerk#000000373,0, are around the blithely sly pin
1908390,117469,O,207173.70,1997-10-08,2-HIGH,Clerk#000000137,0,ost furiously. fluffily s
2134819,25694,O,234144.06,1997-10-17,3-MEDIUM,Clerk#000000320,0,nstructions are slyly blithely pending dugouts
5753665,65473,O,127392.21,1997-09-04,4-NOT SPECIFIED,Clerk#000000320,0,"nding deposits nag slyly after the final, f"
3759074,53533,O,205544.17,1997-09-30,3-MEDIUM,Clerk#000000066,0, the blithely regul
2104198,29608,O,166312.81,1997-12-03,4-NOT SPECIFIED,Clerk#000000064,0,"lar ideas. bold, even packages across the furiously r"
4263808,2671,O,309305.15,1997-10-18,5-LOW,Clerk#000000560,0,o beans nag above the ironic accounts. ideas boos
4334150,76954,O,178842.23,1997-10-04,4-NOT SPECIFIED,Clerk#000000396,0,ns sleep slyly above the slyly f
2505474,94858,O,127726.44,1997-08-10,3-MEDIUM,Clerk#000000490,0, instructions around the final deposits affix quickly a
5376419,2128,O,286889.66,1997-09-18,4-NOT SPECIFIED,Clerk#000000016,0,"e quickly: final, bold requests print among the furiously silent accounts"
4969826,12868,O,219129.41,1997-10-14,5-LOW,Clerk#000000842,0,quests cajole sometimes express requests. thinly regular deposits en
2904259,54673,O,280028.33,1997-11-12,2-HIGH,Clerk#000000687,0,ests against the furiously iron
2832486,90173,O,128542.60,1997-08-16,3-MEDIUM,Clerk#000000812,0,cies. carefully regular asymptotes wake carefully after the blithely reg
5306022,40552,O,286844.63,1997-11-13,3-MEDIUM,Clerk#000000481,0,ggle above the slyly ironic ideas. quickly regular instructions x-ray fluffi
3029223,34099,O,307122.60,1997-11-12,5-LOW,Clerk#000000838,0,usual requests haggle blithely. carefully bold p
