P_PARTKEY,P_NAME,P_MFGR,P_BRAND,P_TYPE,P_SIZE,P_CONTAINER,P_RETAILPRICE,P_COMMENT
115065,azure almond navy tan turquoise,Manufacturer#1,Brand#15,STANDARD BRUSHED COPPER,49,MED JAR,1080.06,ggle flu
31172,tomato dodger brown burlywood grey,Manufacturer#5,Brand#54,STANDARD BURNISHED STEEL,13,LG BAG,1103.17,jole quickly 
1300,dim ivory pink orchid chartreuse,Manufacturer#2,Brand#25,SMALL BURNISHED NICKEL,39,LG CASE,1201.30, platelets haggle
194883,dodger white red aquamarine slate,Manufacturer#5,Brand#53,SMALL ANODIZED STEEL,23,JUMBO JAR,1977.88,fily blithely pendi
144807,ivory white royal misty indian,Manufacturer#5,Brand#52,MEDIUM ANODIZED BRASS,10,JUMBO CASE,1851.80,ccording to
150075,pink cornsilk dodger azure snow,Manufacturer#3,Brand#32,LARGE ANODIZED COPPER,35,WRAP CASE,1125.07,ts. quickly un
45305,red pale salmon maroon blue,Manufacturer#2,Brand#21,STANDARD POLISHED TIN,44,JUMBO BAG,1250.30,gular deposits co
11266,khaki medium papaya forest green,Manufacturer#2,Brand#23,MEDIUM PLATED STEEL,16,WRAP CAN,1177.26,"ggle unusual, ironi"
187102,dodger bisque cornsilk hot azure,Manufacturer#3,Brand#34,MEDIUM BRUSHED TIN,26,LG BAG,1189.10,ickly even requests ac
29748,dodger thistle lavender brown royal,Manufacturer#1,Brand#14,STANDARD POLISHED NICKEL,32,JUMBO CAN,1677.74,according
107066,deep misty smoke wheat ivory,Manufacturer#4,Brand#42,ECONOMY BURNISHED BRASS,35,LG CAN,1073.06,s use s
131647,mint turquoise violet orchid cornflower,Manufacturer#2,Brand#22,LARGE ANODIZED BRASS,30,MED CAN,1678.64,arefully express a
116356,green bisque burnished turquoise beige,Manufacturer#2,Brand#24,LARGE BURNISHED NICKEL,30,MED CAN,1372.35,"ckages. even, unusual "
125049,tomato aquamarine antique snow indian,Manufacturer#2,Brand#25,SMALL ANODIZED STEEL,18,JUMBO PACK,1074.04, bold excuses. c
142084,linen burlywood sienna blue floral,Manufacturer#2,Brand#22,ECONOMY PLATED BRASS,9,MED CAN,1126.08,ealthily
71474,misty puff antique yellow cyan,Manufacturer#4,Brand#43,ECONOMY BRUSHED TIN,49,SM CAN,1445.47,uctions are foxes. 
74837,metallic yellow rose snow cornsilk,Manufacturer#1,Brand#15,ECONOMY ANODIZED BRASS,35,WRAP DRUM,1811.83,le bli
47392,thistle gainsboro orange blanched red,Manufacturer#5,Brand#54,ECONOMY POLISHED COPPER,45,WRAP JAR,1339.39,ong the slyl
107835,spring forest metallic slate powder,Manufacturer#3,Brand#32,MEDIUM ANODIZED NICKEL,20,JUMBO BAG,1842.83,quests. blithely 
184583,steel orange snow dark powder,Manufacturer#2,Brand#22,SMALL ANODIZED NICKEL,33,WRAP JAR,1667.58,resias wake carefully
52481,steel beige peach almond green,Manufacturer#2,Brand#25,PROMO BURNISHED COPPER,19,MED CAN,1433.48,riously. blit
74739,salmon pink firebrick azure lawn,Manufacturer#3,Brand#33,MEDIUM POLISHED COPPER,6,LG JAR,1713.73,cial pl
49319,chocolate almond orchid ivory metallic,Manufacturer#3,Brand#34,STANDARD BRUSHED NICKEL,14,JUMBO BAG,1268.31,sly even
130961,snow steel light moccasin plum,Manufacturer#3,Brand#32,STANDARD BURNISHED NICKEL,39,JUMBO DRUM,1991.96, final packages
74340,coral gainsboro burlywood peach green,Manufacturer#3,Brand#32,LARGE ANODIZED TIN,35,MED CASE,1314.34,t the
11831,spring burlywood lime indian sky,Manufacturer#2,Brand#23,SMALL POLISHED STEEL,28,MED CAN,1742.83,counts across the bo
18750,yellow royal pale orchid puff,Manufacturer#3,Brand#34,MEDIUM POLISHED BRASS,24,SM DRUM,1668.75,fully dogged 
172704,frosted maroon sky brown almond,Manufacturer#1,Brand#13,MEDIUM ANODIZED BRASS,29,JUMBO BAG,1776.70,. carefully even inst
73289,almond violet cornsilk lavender plum,Manufacturer#2,Brand#23,MEDIUM POLISHED BRASS,22,WRAP JAR,1262.28,lms use abou
106834,black misty khaki coral steel,Manufacturer#4,Brand#41,SMALL BRUSHED COPPER,46,SM BAG,1840.83,f the blithely dari
161412,drab medium lace purple orchid,Manufacturer#2,Brand#22,PROMO PLATED COPPER,29,MED DRUM,1473.41,t again
80493,hot thistle medium seashell rose,Manufacturer#1,Brand#11,SMALL BRUSHED BRASS,37,SM JAR,1473.49,old d
34627,misty olive thistle plum hot,Manufacturer#4,Brand#41,MEDIUM BURNISHED BRASS,35,LG JAR,1561.62,. silent epi
127531,salmon spring beige metallic navy,Manufacturer#5,Brand#54,PROMO POLISHED COPPER,17,WRAP BAG,1558.53,ly. ironic re
111742,sky olive chiffon almond firebrick,Manufacturer#3,Brand#32,ECONOMY ANODIZED COPPER,27,WRAP DRUM,1753.74,y final theodol
196248,gainsboro linen plum salmon rosy,Manufacturer#4,Brand#45,LARGE BURNISHED BRASS,46,MED CAN,1344.24,unts sl
152417,yellow floral medium hot lace,Manufacturer#2,Brand#23,ECONOMY POLISHED BRASS,29,SM BOX,1469.41,en deposits. reques
193318,cream dim bisque yellow orchid,Manufacturer#1,Brand#15,PROMO BURNISHED NICKEL,26,MED CAN,1411.31,each carefull
50217,coral aquamarine steel moccasin white,Manufacturer#1,Brand#12,LARGE PLATED NICKEL,49,WRAP CASE,1167.21,unusual accou
91510,goldenrod brown dim azure cyan,Manufacturer#2,Brand#21,ECONOMY ANODIZED STEEL,45,LG DRUM,1501.51,unusual accou
76130,deep peach moccasin cornflower orchid,Manufacturer#2,Brand#25,STANDARD PLATED STEEL,6,LG BOX,1106.13, promise around the q
194527,dim forest bisque slate metallic,Manufacturer#4,Brand#42,LARGE PLATED BRASS,43,MED CAN,1621.52,ress forg
91731,black brown spring saddle forest,Manufacturer#2,Brand#21,PROMO BURNISHED NICKEL,12,MED BAG,1722.73,arefully reg
155727,magenta green gainsboro chiffon light,Manufacturer#2,Brand#25,MEDIUM ANODIZED NICKEL,13,LG PKG,1782.72,phins believe furi
190106,blush black grey powder dim,Manufacturer#3,Brand#32,ECONOMY POLISHED BRASS,22,JUMBO PKG,1196.10,even 
152983,burnished magenta white powder aquamarine,Manufacturer#2,Brand#23,MEDIUM PLATED BRASS,49,MED CAN,2035.98,regular packages. pend
181562,navajo frosted light cornflower grey,Manufacturer#5,Brand#55,LARGE ANODIZED TIN,2,JUMBO BAG,1643.56,excuses nag furiou
110549,beige bisque dim salmon dodger,Manufacturer#5,Brand#53,SMALL ANODIZED NICKEL,10,MED CAN,1559.54,ely bold idea
14698,green cyan peach sienna midnight,Manufacturer#4,Brand#43,SMALL BRUSHED BRASS,39,WRAP PKG,1612.69, final 
194190,lime chartreuse navajo sienna puff,Manufacturer#3,Brand#32,ECONOMY BRUSHED BRASS,17,SM DRUM,1284.19, slyly across the care
169527,ivory powder coral green moccasin,Manufacturer#4,Brand#45,STANDARD ANODIZED STEEL,7,WRAP DRUM,1596.52, slyly
70542,sandy floral lemon chocolate beige,Manufacturer#2,Brand#23,ECONOMY BRUSHED NICKEL,30,JUMBO JAR,1512.54,special requests ar
176743,smoke floral burnished yellow sky,Manufacturer#5,Brand#53,SMALL BRUSHED NICKEL,35,LG JAR,1819.74,ructions. qui
144826,slate tan pale cyan cornsilk,Manufacturer#4,Brand#44,STANDARD BURNISHED BRASS,9,WRAP CASE,1870.82,. evenly iron
90288,saddle orchid rosy metallic chartreuse,Manufacturer#3,Brand#33,PROMO BRUSHED COPPER,5,SM PKG,1278.28,ix even 
169834,lawn black burlywood blanched mint,Manufacturer#3,Brand#31,MEDIUM POLISHED TIN,31,SM PKG,1903.83,nticing 
21409,gainsboro magenta blanched powder dodger,Manufacturer#3,Brand#31,PROMO BRUSHED STEEL,32,JUMBO CAN,1330.40,ly pending deposits s
27017,olive cornsilk metallic goldenrod pink,Manufacturer#5,Brand#54,PROMO BURNISHED NICKEL,17,SM DRUM,944.01,. carefully silent
122502,metallic salmon navy dodger papaya,Manufacturer#3,Brand#33,LARGE PLATED COPPER,15,SM CASE,1524.50,nic braids haggl
26987,antique purple blue tomato papaya,Manufacturer#5,Brand#53,MEDIUM ANODIZED COPPER,5,JUMBO PACK,1913.98,"to the unusual, ir"
83198,green magenta royal maroon grey,Manufacturer#2,Brand#21,ECONOMY PLATED TIN,38,LG PKG,1181.19,eas cajole. furiously
74115,drab lime sienna purple white,Manufacturer#5,Brand#55,MEDIUM PLATED COPPER,47,WRAP CASE,1089.11,en plat
12889,misty grey navy dodger ivory,Manufacturer#5,Brand#54,SMALL BRUSHED BRASS,19,JUMBO BAG,1801.88,"onic somas. bold, re"
31672,burnished beige puff peach royal,Manufacturer#3,Brand#34,LARGE ANODIZED COPPER,8,MED DRUM,1603.67,ld requests
32621,honeydew snow deep steel frosted,Manufacturer#2,Brand#24,MEDIUM POLISHED STEEL,17,SM DRUM,1553.62,r excuses caj
165234,violet wheat burnished rose rosy,Manufacturer#1,Brand#14,MEDIUM BRUSHED TIN,20,LG BAG,1299.23,oss the furiously 
187314,rose yellow cornsilk almond dark,Manufacturer#2,Brand#24,PROMO PLATED BRASS,47,WRAP DRUM,1401.31,le blit
33107,misty burlywood plum sky lawn,Manufacturer#5,Brand#51,MEDIUM POLISHED NICKEL,21,WRAP CASE,1040.10,thely i
66430,gainsboro green sienna drab sky,Manufacturer#1,Brand#14,ECONOMY PLATED TIN,5,LG BAG,1396.43,e even pinto 
183329,cornflower chiffon saddle white tomato,Manufacturer#5,Brand#55,STANDARD PLATED BRASS,1,SM JAR,1412.32,d car
179814,almond ghost burlywood salmon sienna,Manufacturer#3,Brand#33,STANDARD BURNISHED COPPER,42,LG CAN,1893.81,"ng, express"
195030,light grey maroon lawn midnight,Manufacturer#1,Brand#11,STANDARD BRUSHED STEEL,39,WRAP BOX,1125.03,refull
135184,navajo yellow midnight hot ghost,Manufacturer#1,Brand#13,ECONOMY BURNISHED STEEL,4,WRAP BOX,1219.18,es. carefully fi
167827,indian moccasin tan grey sandy,Manufacturer#5,Brand#51,ECONOMY POLISHED BRASS,39,JUMBO JAR,1894.82," final, final request"
182734,metallic bisque spring mint aquamarine,Manufacturer#4,Brand#42,STANDARD BURNISHED NICKEL,4,SM BOX,1816.73,s courts boo
116141,chocolate mint moccasin metallic peach,Manufacturer#5,Brand#55,SMALL PLATED TIN,4,MED JAR,1157.14,st slyly r
130550,grey brown chiffon purple snow,Manufacturer#2,Brand#22,LARGE POLISHED COPPER,47,SM DRUM,1580.55,onically ir
142697,smoke bisque antique green ivory,Manufacturer#1,Brand#13,STANDARD PLATED STEEL,31,MED PACK,1739.69,he bold foxes eat f
53257,lace midnight metallic wheat deep,Manufacturer#5,Brand#52,LARGE POLISHED COPPER,14,SM BAG,1210.25,ithely unusual w
163689,forest almond olive navy steel,Manufacturer#4,Brand#42,SMALL ANODIZED NICKEL,39,SM JAR,1752.68,tes hinder carefully
172960,dark cornsilk chiffon steel firebrick,Manufacturer#3,Brand#32,ECONOMY BRUSHED STEEL,28,LG PKG,2032.96,haggle. f
59342,rosy misty tomato thistle orchid,Manufacturer#1,Brand#11,MEDIUM BURNISHED TIN,18,JUMBO CASE,1301.34,yly slyl
133985,beige dodger grey maroon ivory,Manufacturer#1,Brand#15,SMALL PLATED BRASS,13,JUMBO BOX,2018.98,ions poach. ideas nag
156552,midnight chartreuse drab magenta lace,Manufacturer#1,Brand#15,STANDARD PLATED BRASS,10,WRAP BOX,1608.55,fluff
128041,misty chiffon blue cyan lace,Manufacturer#2,Brand#21,MEDIUM POLISHED BRASS,46,WRAP JAR,1069.04, deposits 
86990,slate drab turquoise bisque firebrick,Manufacturer#5,Brand#51,STANDARD BRUSHED NICKEL,13,JUMBO JAR,1976.99,eposits gr
7914,burlywood chocolate lavender plum puff,Manufacturer#2,Brand#22,PROMO BURNISHED NICKEL,35,MED DRUM,1821.91,accordi
188238,moccasin navy aquamarine pink magenta,Manufacturer#4,Brand#42,STANDARD POLISHED COPPER,48,MED BOX,1326.23,rly ironic pac
104702,powder chocolate cyan almond red,Manufacturer#2,Brand#23,SMALL BRUSHED TIN,48,SM CASE,1706.70,fily special accounts 
17982,ghost khaki grey floral cream,Manufacturer#5,Brand#54,LARGE ANODIZED NICKEL,16,MED PACK,1899.98, orbits. blithely even
158795,sandy hot azure almond deep,Manufacturer#3,Brand#35,STANDARD BRUSHED STEEL,32,JUMBO PKG,1853.79,y ironic the
18832,forest puff magenta violet dark,Manufacturer#3,Brand#31,LARGE BRUSHED TIN,8,JUMBO BAG,1750.83,ep. slyly expr
33249,sky blanched tomato cornsilk yellow,Manufacturer#4,Brand#41,PROMO BRUSHED COPPER,50,MED BOX,1182.24,ost against 
6646,cornflower green slate spring medium,Manufacturer#5,Brand#55,STANDARD BRUSHED STEEL,2,WRAP BAG,1552.64,equests. de
126018,white lawn lavender goldenrod indian,Manufacturer#1,Brand#15,ECONOMY POLISHED STEEL,15,WRAP CAN,1044.01,blithely acros
164820,olive black yellow chocolate beige,Manufacturer#4,Brand#42,PROMO PLATED TIN,12,SM CASE,1884.82,ar req
30462,wheat navajo deep linen forest,Manufacturer#3,Brand#33,ECONOMY ANODIZED BRASS,44,LG BOX,1392.46,ructions are b
99492,sky red peru peach cyan,Manufacturer#2,Brand#22,SMALL ANODIZED STEEL,34,SM CASE,1491.49,ng pinto beans. 
146495,pink magenta peach burlywood dim,Manufacturer#5,Brand#51,PROMO BRUSHED STEEL,14,MED CAN,1541.49," excuses. pending, si"
89932,red brown purple forest gainsboro,Manufacturer#1,Brand#11,ECONOMY BURNISHED BRASS,3,LG DRUM,1921.93, the regular requests.
110968,deep frosted lawn spring peach,Manufacturer#2,Brand#22,ECONOMY BURNISHED COPPER,43,LG PACK,1978.96,ngside of t
80534,white metallic frosted medium rose,Manufacturer#3,Brand#33,STANDARD PLATED NICKEL,35,LG DRUM,1514.53, beans haggl
13614,khaki mint navajo aquamarine powder,Manufacturer#2,Brand#22,MEDIUM BRUSHED COPPER,22,JUMBO PACK,1527.61,pecial accounts
195508,lemon goldenrod thistle metallic salmon,Manufacturer#2,Brand#24,SMALL ANODIZED BRASS,23,LG PACK,1603.50,otes ca
72713,linen cream floral cyan orange,Manufacturer#5,Brand#54,SMALL ANODIZED COPPER,45,SM CASE,1685.71,e quickly final ide
168553,slate red frosted chiffon burlywood,Manufacturer#4,Brand#44,PROMO BRUSHED NICKEL,32,JUMBO PACK,1621.55,hins. sp
32485,grey brown purple rose frosted,Manufacturer#5,Brand#53,SMALL BURNISHED COPPER,11,SM DRUM,1417.48,ptotes: 
182715,orange smoke burlywood bisque misty,Manufacturer#4,Brand#43,ECONOMY POLISHED TIN,31,LG CASE,1797.71, the packa
11578,papaya powder royal misty sky,Manufacturer#3,Brand#35,SMALL BURNISHED STEEL,2,WRAP CAN,1489.57,egular
15247,olive rose maroon navy white,Manufacturer#4,Brand#44,PROMO BRUSHED BRASS,27,SM BAG,1162.24,into beans wake 
28868,lawn indian bisque puff thistle,Manufacturer#2,Brand#24,SMALL BURNISHED BRASS,9,LG CAN,1796.86,ar pac
5197,beige green orchid rosy drab,Manufacturer#3,Brand#31,SMALL BRUSHED NICKEL,50,MED CAN,1102.19,quickly iron
144945,slate indian red burlywood brown,Manufacturer#5,Brand#55,LARGE POLISHED COPPER,29,JUMBO BAG,1989.94,ts. f
173320,salmon ivory khaki metallic azure,Manufacturer#4,Brand#45,ECONOMY BURNISHED COPPER,9,LG CASE,1393.32,ular theodol
71157,chiffon sky olive royal goldenrod,Manufacturer#1,Brand#11,STANDARD ANODIZED STEEL,11,LG BOX,1128.15,iously express package
13967,violet sky green smoke dark,Manufacturer#2,Brand#22,LARGE ANODIZED COPPER,41,WRAP PKG,1880.96,at the court
168242,orchid goldenrod dark metallic saddle,Manufacturer#5,Brand#51,STANDARD BRUSHED COPPER,38,MED BOX,1310.24,t the foxes wake qu
103996,gainsboro seashell rosy ivory floral,Manufacturer#3,Brand#35,LARGE POLISHED BRASS,39,SM DRUM,1999.99,rint express do
14516,cornflower metallic lace tomato red,Manufacturer#3,Brand#35,ECONOMY ANODIZED TIN,34,LG BOX,1430.51,eas. slyly 
56229,royal blanched orange papaya pale,Manufacturer#2,Brand#22,LARGE PLATED COPPER,35,JUMBO JAR,1185.22, deposits cajole
97271,lemon goldenrod lace light cornsilk,Manufacturer#3,Brand#35,SMALL ANODIZED BRASS,9,WRAP JAR,1268.27,es play quickly a
109315,yellow ghost forest lace blue,Manufacturer#3,Brand#33,PROMO PLATED BRASS,17,MED JAR,1324.31,e furiou
192485,forest peach midnight wheat mint,Manufacturer#4,Brand#45,LARGE BURNISHED TIN,33,JUMBO BAG,1577.48, accordi
170814,powder pale lawn sandy dark,Manufacturer#5,Brand#51,PROMO BURNISHED BRASS,46,SM DRUM,1884.81,"der the daring, even"
82042,seashell peach tomato midnight light,Manufacturer#5,Brand#51,PROMO ANODIZED COPPER,21,WRAP PKG,1024.04,heodolites sleep bl
126196,white lavender cyan lime royal,Manufacturer#1,Brand#11,SMALL PLATED NICKEL,9,JUMBO JAR,1222.19,longside 
142193,blanched beige moccasin antique ghost,Manufacturer#2,Brand#24,MEDIUM ANODIZED COPPER,34,SM CAN,1235.19,count
48419,seashell peach misty thistle royal,Manufacturer#3,Brand#33,MEDIUM POLISHED NICKEL,39,SM PKG,1367.41,y regular 
122527,violet powder blanched blue bisque,Manufacturer#5,Brand#55,SMALL ANODIZED NICKEL,28,LG BOX,1549.52,ents boost acc
134559,navajo maroon medium burnished light,Manufacturer#3,Brand#32,MEDIUM BURNISHED COPPER,29,LG DRUM,1593.55,usly special 
125292,light peach ghost puff burnished,Manufacturer#4,Brand#43,LARGE PLATED STEEL,18,JUMBO DRUM,1317.29,"deposits. bold, bold e"
192836,lemon floral saddle thistle beige,Manufacturer#2,Brand#21,STANDARD PLATED BRASS,27,MED PACK,1928.83,kly according to the
198707,gainsboro yellow cream moccasin black,Manufacturer#3,Brand#35,PROMO POLISHED BRASS,45,LG DRUM,1805.70,"xpress, regular i"
50626,saddle tan chiffon burnished magenta,Manufacturer#3,Brand#34,SMALL BURNISHED STEEL,24,WRAP DRUM,1576.62,ccounts. 
74438,tomato spring burnished dark cornflower,Manufacturer#3,Brand#32,LARGE BRUSHED COPPER,6,WRAP PACK,1412.43,bout the al
187197,azure ivory burlywood sienna rose,Manufacturer#1,Brand#12,STANDARD BURNISHED NICKEL,11,SM PACK,1284.19,gular foxe
66259,magenta black lawn blush sandy,Manufacturer#3,Brand#35,MEDIUM BRUSHED COPPER,14,LG BAG,1225.25,ccounts 
170937,plum yellow blush chocolate honeydew,Manufacturer#1,Brand#15,SMALL BRUSHED BRASS,22,LG CASE,2007.93, accounts haggle a
40491,saddle magenta snow deep peru,Manufacturer#2,Brand#23,LARGE ANODIZED COPPER,5,JUMBO CASE,1431.49,ter the 
156430,sandy burlywood moccasin plum forest,Manufacturer#3,Brand#34,STANDARD PLATED TIN,16,WRAP BOX,1486.43,ly ir
55563,turquoise floral burlywood deep puff,Manufacturer#2,Brand#25,PROMO BRUSHED NICKEL,5,WRAP PACK,1518.56,yly s
48313,drab sky blush olive black,Manufacturer#1,Brand#15,PROMO ANODIZED BRASS,12,LG PACK,1261.31, accounts. carefully r
194759,wheat medium peach white saddle,Manufacturer#5,Brand#53,LARGE PLATED NICKEL,5,JUMBO DRUM,1853.75,sits by the
43403,chartreuse red burnished purple frosted,Manufacturer#5,Brand#53,ECONOMY POLISHED BRASS,13,MED PKG,1346.40,ithely after 
33652,coral navajo salmon gainsboro chartreuse,Manufacturer#1,Brand#12,SMALL ANODIZED STEEL,12,JUMBO JAR,1585.65, foxes affix pending p
25567,moccasin powder pale floral snow,Manufacturer#4,Brand#45,SMALL BRUSHED NICKEL,14,LG PKG,1492.56,s. ironic pinto 
63300,medium black sienna steel antique,Manufacturer#1,Brand#15,PROMO BRUSHED STEEL,48,WRAP JAR,1263.30, special dep
134303,forest spring hot black lawn,Manufacturer#2,Brand#21,MEDIUM BURNISHED TIN,16,LG BOX,1337.30,nstructio
30465,papaya plum beige burnished dark,Manufacturer#3,Brand#32,ECONOMY BRUSHED TIN,32,MED BAG,1395.46,m the express fo
159992,salmon blanched peru royal frosted,Manufacturer#1,Brand#14,MEDIUM BURNISHED TIN,34,LG BAG,2051.99,": final, "
59914,sandy lace cyan thistle blanched,Manufacturer#4,Brand#42,LARGE POLISHED STEEL,4,MED BAG,1873.91,os inte
32884,rose blue orchid spring cream,Manufacturer#3,Brand#35,ECONOMY BRUSHED NICKEL,19,MED DRUM,1816.88,g to the quickly fu
98405,chartreuse lime saddle thistle steel,Manufacturer#2,Brand#22,SMALL POLISHED COPPER,35,MED CAN,1403.40,cajole furiousl
89241,lemon turquoise moccasin cyan lavender,Manufacturer#5,Brand#52,PROMO BURNISHED NICKEL,7,WRAP DRUM,1230.24,final requests against
11219,puff maroon light pale cyan,Manufacturer#3,Brand#33,SMALL BURNISHED STEEL,26,JUMBO PACK,1130.21,ajole blithely along
175252,chiffon steel smoke snow medium,Manufacturer#1,Brand#11,LARGE BRUSHED COPPER,35,WRAP BOX,1327.25,ets. slyly
34864,coral peach frosted firebrick light,Manufacturer#5,Brand#54,ECONOMY PLATED COPPER,3,SM PKG,1798.86,theodolites.
57530,misty white firebrick seashell gainsboro,Manufacturer#2,Brand#24,SMALL POLISHED NICKEL,44,LG PKG,1487.53,counts. car
189204,lavender metallic blue cyan azure,Manufacturer#3,Brand#32,MEDIUM ANODIZED TIN,38,MED JAR,1293.20,silent asympto
160402,aquamarine rosy burlywood red midnight,Manufacturer#3,Brand#34,LARGE POLISHED COPPER,4,SM PKG,1462.40,y regular instruct
147878,almond burlywood linen navy thistle,Manufacturer#5,Brand#54,PROMO BRUSHED STEEL,7,JUMBO PACK,1925.87,e special
7626,thistle khaki steel lavender papaya,Manufacturer#1,Brand#14,ECONOMY PLATED NICKEL,50,JUMBO JAR,1533.62,xpress d
131411,puff turquoise antique moccasin spring,Manufacturer#3,Brand#35,SMALL POLISHED BRASS,18,LG CAN,1442.41, quickly
8747,linen dodger chiffon peach lavender,Manufacturer#3,Brand#31,SMALL BURNISHED NICKEL,47,JUMBO CAN,1655.74,". express, bol"
15043,firebrick linen lawn cornflower papaya,Manufacturer#2,Brand#22,ECONOMY BURNISHED STEEL,14,WRAP CAN,958.04,thely
68400,lawn pink green thistle midnight,Manufacturer#3,Brand#33,MEDIUM ANODIZED COPPER,32,SM PKG,1368.40,. asymptot
73450,violet chartreuse saddle papaya metallic,Manufacturer#5,Brand#55,STANDARD PLATED TIN,1,WRAP JAR,1423.45,bold 
39059,lime lawn peru floral smoke,Manufacturer#5,Brand#54,LARGE PLATED NICKEL,40,MED DRUM,998.05,regular requests. f
12290,rosy grey violet cyan blue,Manufacturer#1,Brand#14,PROMO ANODIZED COPPER,4,SM BOX,1202.29,e against the re
61465,almond white bisque azure maroon,Manufacturer#5,Brand#54,ECONOMY ANODIZED STEEL,45,LG CAN,1426.46,even i
128551,almond powder puff plum black,Manufacturer#4,Brand#42,LARGE PLATED BRASS,8,WRAP CASE,1579.55,as cajole ironic
21691,light chocolate lime ivory orange,Manufacturer#1,Brand#12,STANDARD BRUSHED STEEL,10,SM PACK,1612.69,ickly.
32379,turquoise almond light dim frosted,Manufacturer#1,Brand#15,LARGE BURNISHED BRASS,25,JUMBO JAR,1311.37,. even instructi
170669,drab smoke dodger dark sandy,Manufacturer#5,Brand#53,PROMO BURNISHED COPPER,33,WRAP DRUM,1739.66, dependencies
108841,cornsilk deep ghost papaya mint,Manufacturer#2,Brand#23,MEDIUM PLATED COPPER,27,WRAP BAG,1849.84,the qui
112555,seashell forest sky burnished slate,Manufacturer#4,Brand#45,SMALL POLISHED NICKEL,27,WRAP CAN,1567.55,ly reg
57127,aquamarine hot mint dim pale,Manufacturer#1,Brand#14,SMALL POLISHED NICKEL,19,SM PKG,1084.12,ymptotes need to boost
88336,burnished rose yellow azure aquamarine,Manufacturer#2,Brand#21,PROMO PLATED STEEL,23,JUMBO DRUM,1324.33, carefully; instru
155270,slate plum aquamarine bisque hot,Manufacturer#5,Brand#54,STANDARD POLISHED BRASS,49,SM CAN,1325.27,ily re
100883,chartreuse ivory cyan almond burnished,Manufacturer#1,Brand#11,MEDIUM ANODIZED BRASS,16,JUMBO CASE,1883.88,es integrate
124312,peru sky white grey lime,Manufacturer#5,Brand#54,PROMO BRUSHED TIN,33,WRAP BAG,1336.31,ously final d
111016,sky violet papaya smoke dodger,Manufacturer#4,Brand#43,LARGE PLATED BRASS,9,WRAP JAR,1027.01,tions cajole 
141342,gainsboro rose mint chiffon steel,Manufacturer#1,Brand#15,SMALL POLISHED STEEL,42,LG DRUM,1383.34,ide the blith
176699,turquoise ivory tomato steel misty,Manufacturer#2,Brand#25,MEDIUM POLISHED NICKEL,9,SM DRUM,1775.69,ructions wake blithel
22824,drab steel lemon chartreuse sienna,Manufacturer#2,Brand#21,ECONOMY POLISHED NICKEL,11,MED JAR,1746.82,e carefully expres
181923,blush midnight blanched beige steel,Manufacturer#5,Brand#51,STANDARD BURNISHED BRASS,9,LG PACK,2004.92,ong t
189123,smoke slate wheat saddle light,Manufacturer#1,Brand#11,ECONOMY ANODIZED TIN,29,MED CAN,1212.12,oss the carefully spe
88978,blue cornflower almond khaki mint,Manufacturer#4,Brand#43,ECONOMY POLISHED NICKEL,39,LG PKG,1966.97, fluffy accoun
15609,powder peach red sienna navy,Manufacturer#4,Brand#41,STANDARD POLISHED STEEL,9,WRAP CAN,1524.60,arefully ironic pinto 
63406,navy spring navajo hot grey,Manufacturer#5,Brand#51,ECONOMY BRUSHED BRASS,12,MED BAG,1369.40,ickly regular ac
86618,cream hot purple drab slate,Manufacturer#1,Brand#15,SMALL ANODIZED NICKEL,25,MED JAR,1604.61,ages. fluffily ironic 
163030,olive ghost yellow tomato deep,Manufacturer#4,Brand#43,ECONOMY ANODIZED COPPER,21,WRAP JAR,1093.03,sits. pending courts h
94537,goldenrod rosy light sandy lemon,Manufacturer#4,Brand#44,LARGE ANODIZED TIN,2,MED BOX,1531.53,thy theo
129228,blush powder tan black hot,Manufacturer#1,Brand#13,PROMO PLATED NICKEL,10,LG BOX,1257.22,ke ab
92836,bisque green violet beige azure,Manufacturer#3,Brand#32,STANDARD ANODIZED COPPER,5,MED PACK,1828.83, ironic theod
145685,light olive wheat aquamarine frosted,Manufacturer#2,Brand#25,ECONOMY POLISHED STEEL,23,WRAP DRUM,1730.68, the furiously iron
140486,light tan turquoise navajo ghost,Manufacturer#1,Brand#11,MEDIUM BRUSHED STEEL,48,SM JAR,1526.48,. furiously even plate
163806,lemon hot magenta lavender light,Manufacturer#5,Brand#52,MEDIUM ANODIZED COPPER,14,WRAP JAR,1869.80,nstructions will have 
38522,magenta ghost cornflower lemon floral,Manufacturer#4,Brand#41,PROMO PLATED BRASS,25,WRAP CASE,1460.52,uriously. 
31968,beige red ghost burnished blanched,Manufacturer#5,Brand#53,STANDARD BURNISHED STEEL,33,JUMBO CAN,1899.96,e acros
134432,sandy snow chiffon peach beige,Manufacturer#5,Brand#54,LARGE PLATED BRASS,5,SM DRUM,1466.43,uriously e
131013,honeydew blanched orange mint sandy,Manufacturer#2,Brand#23,SMALL BURNISHED NICKEL,11,WRAP PACK,1044.01,elets a
19796,sky cornsilk beige chiffon deep,Manufacturer#5,Brand#52,ECONOMY ANODIZED COPPER,5,WRAP JAR,1715.79,lyly ironic deposit
177753,ghost lime yellow papaya orange,Manufacturer#5,Brand#55,PROMO PLATED TIN,2,JUMBO PACK,1830.75,ds sleep quickly 
3170,salmon orange coral navajo lavender,Manufacturer#1,Brand#11,ECONOMY POLISHED COPPER,14,MED PKG,1073.17,packages in
