L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
5367875,198168,3207,1,26.00,32920.16,0.10,0.08,N,O,1997-12-09,1997-11-07,1998-01-01,TAKE BACK RETURN,FOB,ts unwind fur
754852,14952,4953,1,16.00,29871.20,0.04,0.00,N,O,1997-12-17,1997-12-15,1998-01-01,TAKE BACK RETURN,RAIL,cording to the slyly express instructi
4517312,10850,5853,2,44.00,77477.40,0.02,0.08,N,O,1997-12-27,1997-11-07,1998-01-01,NONE,RAIL,s according to the packages cajo
2953158,16296,3800,1,50.00,60614.50,0.10,0.01,N,O,1997-12-14,1998-02-10,1998-01-01,NONE,SHIP,ully final requests. slyly ev
949061,164531,2080,3,26.00,41483.78,0.01,0.08,N,O,1997-12-04,1997-12-17,1998-01-01,TAKE BACK RETURN,FOB,ular warthogs wake f
970822,16973,4477,4,23.00,43469.31,0.10,0.00,N,O,1997-12-06,1998-01-31,1998-01-01,COLLECT COD,FOB,s against t
4915206,34353,9360,3,44.00,56643.40,0.08,0.05,N,O,1997-12-24,1997-12-15,1998-01-01,COLLECT COD,TRUCK,express requests. carefully bold p
5287622,74365,6873,5,20.00,26787.20,0.07,0.02,N,O,1997-12-31,1998-02-27,1998-01-01,NONE,MAIL,"inal, even deposits lose carefully accord"
753380,148014,5557,5,39.00,41418.39,0.02,0.03,N,O,1997-12-23,1998-01-09,1998-01-01,TAKE BACK RETURN,REG AIR,"ng, final accounts. ironic deposits hag"
2178880,2140,9641,2,20.00,20842.80,0.00,0.02,N,O,1997-12-22,1997-12-16,1998-01-01,COLLECT COD,TRUCK, final foxes use. regular acco
2275268,176791,6792,4,7.00,13074.53,0.05,0.06,N,O,1997-12-31,1997-11-30,1998-01-01,NONE,REG AIR,ep carefully fluffily even do
623015,73966,1488,3,3.00,5819.88,0.06,0.05,N,O,1997-12-21,1998-02-13,1998-01-01,COLLECT COD,TRUCK," after the silent, final foxes sleep blith"
5477504,150655,5686,1,12.00,20467.80,0.06,0.07,N,O,1997-12-30,1998-02-03,1998-01-01,NONE,REG AIR,ecial accounts. final fo
5656418,36850,9354,1,13.00,23229.05,0.04,0.05,N,O,1997-12-27,1997-11-21,1998-01-01,COLLECT COD,TRUCK,ainst the closely pending courts.
5972837,107737,2758,4,25.00,43618.25,0.00,0.00,N,O,1997-12-30,1997-12-14,1998-01-01,TAKE BACK RETURN,SHIP,thogs believe slyly regular deposits. 
936324,102268,4779,5,5.00,6351.30,0.04,0.05,N,O,1997-12-20,1997-11-22,1998-01-01,TAKE BACK RETURN,TRUCK,ajole carefully quickly
5806112,56331,3847,3,41.00,52780.53,0.05,0.06,N,O,1997-12-18,1997-10-29,1998-01-01,DELIVER IN PERSON,MAIL,quiet accounts among the carefu
2022306,132444,7471,1,24.00,35434.56,0.06,0.05,N,O,1997-12-28,1998-01-02,1998-01-01,NONE,AIR,lent packages sle
5738722,51997,4503,2,17.00,33132.83,0.02,0.07,N,O,1997-12-30,1997-11-26,1998-01-01,TAKE BACK RETURN,TRUCK,ost fluffily along
4138720,130948,3462,1,9.00,17810.46,0.10,0.04,N,O,1997-12-17,1997-11-13,1998-01-01,COLLECT COD,AIR,st fluffily bold as
5937923,91436,3946,7,41.00,58524.63,0.10,0.03,N,O,1997-12-08,1998-01-28,1998-01-01,NONE,REG AIR,yly along the accounts. furiously even d
5535202,123807,8832,5,47.00,86047.60,0.06,0.02,N,O,1997-12-24,1998-01-08,1998-01-01,NONE,REG AIR,kly even b
5556384,150208,5239,3,24.00,30196.80,0.07,0.06,N,O,1997-12-22,1998-03-02,1998-01-01,DELIVER IN PERSON,TRUCK,"e quickly silent warhorses. ironic,"
5689478,157118,4664,7,16.00,18801.76,0.02,0.05,N,O,1997-12-31,1997-12-10,1998-01-01,NONE,AIR,ole blithely furiously pending pack
5515041,67677,2690,1,18.00,29604.06,0.07,0.06,N,O,1997-12-21,1997-12-03,1998-01-01,NONE,RAIL,"kages. ironic, ironic "
5643718,25752,757,2,11.00,18455.25,0.05,0.06,N,O,1997-12-17,1997-12-04,1998-01-01,NONE,AIR,final packages. doggedly even platelets wak
3377283,35250,7754,3,27.00,32001.75,0.03,0.03,N,O,1997-12-25,1998-01-12,1998-01-01,TAKE BACK RETURN,TRUCK,y even accounts use across 
5955746,41655,9168,5,2.00,3193.30,0.05,0.00,N,O,1997-12-03,1998-01-20,1998-01-01,TAKE BACK RETURN,AIR,y after the qui
4497539,193296,854,5,18.00,25007.22,0.07,0.02,N,O,1997-12-24,1997-12-19,1998-01-01,COLLECT COD,REG AIR,pendencies. s
3816963,56867,4383,1,2.00,3647.72,0.10,0.03,N,O,1997-12-03,1998-01-21,1998-01-01,TAKE BACK RETURN,FOB,mong the fu
5604866,177314,9832,2,16.00,22260.96,0.08,0.04,N,O,1997-12-28,1998-01-27,1998-01-01,DELIVER IN PERSON,RAIL,ts cajole blithely even foxes. fi
3058048,190353,2873,5,30.00,43300.50,0.06,0.04,N,O,1997-12-11,1997-11-18,1998-01-01,DELIVER IN PERSON,AIR,ccounts. regular
289926,187019,2056,1,41.00,45346.41,0.01,0.05,N,O,1997-12-09,1998-01-19,1998-01-01,NONE,REG AIR,ts thrash-- quic
569700,155475,5476,5,34.00,52035.98,0.01,0.03,N,O,1997-12-17,1998-01-22,1998-01-01,COLLECT COD,AIR,fily final deposits integrate darin
5184705,139740,2254,4,25.00,44493.50,0.07,0.04,N,O,1997-12-10,1997-11-06,1998-01-01,DELIVER IN PERSON,AIR, deposits. fur
5675393,102555,2556,5,16.00,24920.80,0.03,0.01,N,O,1997-12-08,1997-11-26,1998-01-01,COLLECT COD,FOB,efully regular dol
1223234,21257,1258,1,37.00,43595.25,0.02,0.01,N,O,1997-12-23,1997-11-23,1998-01-01,DELIVER IN PERSON,RAIL,ole slyly about the f
3059520,69624,4637,2,24.00,38246.88,0.10,0.06,N,O,1997-12-10,1997-10-02,1998-01-01,DELIVER IN PERSON,FOB,s. slyly final accounts
74565,81331,3840,4,1.00,1312.33,0.06,0.07,N,O,1997-12-05,1997-11-17,1998-01-01,DELIVER IN PERSON,RAIL,ecial instructions wake blit
4132613,15100,2604,3,47.00,47709.70,0.00,0.02,N,O,1997-12-13,1998-02-03,1998-01-01,NONE,AIR,ual pinto be
23651,53682,1198,2,29.00,47434.72,0.10,0.07,N,O,1997-12-26,1998-02-11,1998-01-01,TAKE BACK RETURN,MAIL,iously bold packages dete
749061,58405,3416,6,48.00,65443.20,0.09,0.06,N,O,1997-12-06,1997-09-12,1998-01-01,COLLECT COD,AIR,ns sleep furiously after the carefully
291237,12206,7209,3,35.00,39137.00,0.08,0.04,N,O,1997-12-20,1997-12-10,1998-01-01,NONE,MAIL,jole slyly. furiously regular theodolit
3872452,154098,4099,6,10.00,11520.90,0.04,0.05,N,O,1997-12-12,1997-11-08,1998-01-01,COLLECT COD,MAIL,kages haggle carefully above the blithel
3613920,3733,6234,3,35.00,57285.55,0.03,0.06,N,O,1997-12-09,1997-10-28,1998-01-01,NONE,RAIL,regular accounts cajole carefu
2077444,170525,526,2,40.00,63820.80,0.04,0.03,N,O,1997-12-27,1997-12-15,1998-01-01,NONE,FOB,"kages. ironic, regular platelets u"
146663,162201,7234,4,22.00,27790.40,0.02,0.03,N,O,1997-12-30,1998-01-08,1998-01-01,DELIVER IN PERSON,MAIL,p carefully. carefully even deposits slee
2158690,63512,1031,1,38.00,56069.38,0.07,0.07,N,O,1997-12-14,1997-11-01,1998-01-01,TAKE BACK RETURN,REG AIR,- blithely unusual pi
35175,48889,6402,1,13.00,23892.44,0.01,0.06,N,O,1997-12-09,1998-01-11,1998-01-01,NONE,RAIL,l foxes. ev
5032231,24205,1712,4,36.00,40651.20,0.06,0.07,N,O,1997-12-20,1998-01-29,1998-01-01,TAKE BACK RETURN,SHIP,nic deposits was slyly about the fluffil
43685,135725,8239,6,6.00,10564.32,0.05,0.00,N,O,1997-12-14,1997-10-09,1998-01-01,TAKE BACK RETURN,SHIP, fluffy gifts. carefully special depos
1239905,108303,814,2,45.00,59008.50,0.03,0.06,N,O,1997-12-06,1997-11-24,1998-01-01,NONE,SHIP,may are above the b
4384199,116597,9109,4,38.00,61316.42,0.10,0.03,N,O,1997-12-25,1998-01-12,1998-01-01,TAKE BACK RETURN,FOB,nstructions about the furiously regu
1474725,163844,1393,2,9.00,17170.56,0.10,0.04,N,O,1997-12-05,1998-01-14,1998-01-01,TAKE BACK RETURN,FOB,s across the blithely unusual deposi
539875,140119,120,3,27.00,31295.97,0.02,0.01,N,O,1997-12-07,1997-12-27,1998-01-01,COLLECT COD,RAIL,g to the brav
705346,80186,5203,6,29.00,33819.22,0.09,0.01,N,O,1997-12-25,1997-12-03,1998-01-01,TAKE BACK RETURN,AIR,xcuses should have to sublate furiously
117892,62564,7577,3,16.00,24424.96,0.10,0.07,N,O,1997-12-14,1997-12-18,1998-01-01,COLLECT COD,AIR,ully final instructions boost blithely eve
1444613,74725,4726,7,32.00,54391.04,0.05,0.00,N,O,1997-12-28,1997-12-03,1998-01-01,NONE,REG AIR,al accounts haggle furiously around t
445382,89717,2226,5,36.00,61441.56,0.09,0.08,N,O,1997-12-08,1997-11-17,1998-01-01,COLLECT COD,MAIL,eas sleep careful
2318790,150661,662,4,25.00,42791.50,0.01,0.08,N,O,1997-12-06,1998-01-01,1998-01-01,NONE,AIR,fully ironic courts haggle carefully. fur
1969600,131179,3693,1,15.00,18152.55,0.03,0.01,N,O,1997-12-31,1997-11-13,1998-01-01,COLLECT COD,TRUCK,"press waters haggle ruthless, f"
299719,140565,3080,1,2.00,3211.12,0.02,0.05,N,O,1997-12-05,1998-01-07,1998-01-01,DELIVER IN PERSON,MAIL,le never even pinto beans. ironic pin
418850,71391,8913,4,33.00,44958.87,0.08,0.08,N,O,1997-12-08,1998-01-17,1998-01-01,TAKE BACK RETURN,AIR,ely express pinto b
4322887,100803,5824,1,23.00,41487.40,0.02,0.03,N,O,1997-12-26,1997-11-15,1998-01-01,COLLECT COD,TRUCK,uternes sleep. blithely 
594469,171182,1183,3,11.00,13784.98,0.09,0.01,N,O,1997-12-25,1998-01-28,1998-01-01,NONE,SHIP,s about the furiously unusua
143042,93042,3043,1,4.00,4140.16,0.08,0.02,N,O,1997-12-15,1998-01-05,1998-01-01,DELIVER IN PERSON,AIR,enticing foxes. blithely even d
327301,54682,7188,5,35.00,57283.80,0.07,0.04,N,O,1997-12-15,1998-02-09,1998-01-01,COLLECT COD,MAIL,the final requ
1727299,190477,2997,1,26.00,40754.22,0.05,0.02,N,O,1997-12-17,1997-11-24,1998-01-01,TAKE BACK RETURN,MAIL,ously final accounts.
538209,37306,7307,5,50.00,62165.00,0.09,0.02,N,O,1997-12-18,1997-12-07,1998-01-01,DELIVER IN PERSON,SHIP,yly carefully bold pin
1963617,182487,2488,6,37.00,58070.76,0.04,0.02,N,O,1997-12-10,1997-11-26,1998-01-01,COLLECT COD,RAIL,"le across the silent, "
33796,78105,613,7,6.00,6498.60,0.06,0.06,N,O,1997-12-27,1997-10-30,1998-01-01,DELIVER IN PERSON,FOB, asymptotes are furiously across the blith
4213313,595,8096,2,8.00,11964.72,0.09,0.04,N,O,1997-12-19,1998-02-01,1998-01-01,NONE,MAIL,ges. furiously e
100322,146336,3879,7,8.00,11058.64,0.03,0.08,N,O,1997-12-16,1998-01-15,1998-01-01,DELIVER IN PERSON,AIR,st. packages 
2036419,191071,1072,6,42.00,48806.94,0.03,0.00,N,O,1997-12-24,1998-01-18,1998-01-01,TAKE BACK RETURN,SHIP,n dependencies cajole. furiously ironi
565120,139464,9465,1,42.00,63145.32,0.09,0.08,N,O,1997-12-18,1997-10-21,1998-01-01,NONE,REG AIR,ial accounts 
2349734,170883,5918,2,9.00,17584.92,0.07,0.08,N,O,1997-12-31,1997-10-29,1998-01-01,COLLECT COD,MAIL, cajole blithely furiously f
102948,197438,2477,4,23.00,35314.89,0.02,0.06,N,O,1997-12-28,1997-11-09,1998-01-01,NONE,SHIP,slyly according to the 
2332455,92917,5427,3,50.00,95495.50,0.08,0.06,N,O,1997-12-08,1997-10-23,1998-01-01,COLLECT COD,MAIL,inos sleep ideas
599717,101971,6992,2,28.00,55243.16,0.02,0.07,N,O,1997-12-22,1997-11-18,1998-01-01,NONE,SHIP,according to 
4515238,40844,8357,1,40.00,71393.60,0.04,0.06,N,O,1997-12-13,1997-12-20,1998-01-01,NONE,SHIP,ove the unusual plat
4495168,37229,4739,3,36.00,41983.92,0.08,0.01,N,O,1997-12-09,1997-12-21,1998-01-01,COLLECT COD,REG AIR,efully quickly final dependencies. speci
1988674,18646,6150,1,38.00,59456.32,0.05,0.00,N,O,1997-12-30,1998-01-03,1998-01-01,TAKE BACK RETURN,SHIP,. dependencies u
4273125,14015,6517,4,26.00,24154.26,0.00,0.08,N,O,1997-12-02,1997-10-13,1998-01-01,DELIVER IN PERSON,RAIL, according to the silent
4581090,19159,9160,2,41.00,44204.15,0.04,0.01,N,O,1997-12-17,1997-11-27,1998-01-01,COLLECT COD,TRUCK,busily pending pinto b
1490788,74044,6552,5,7.00,7126.28,0.09,0.06,N,O,1997-12-15,1997-11-22,1998-01-01,NONE,SHIP,ding platelets. car
4326818,118389,8390,1,5.00,7036.90,0.09,0.06,N,O,1997-12-18,1998-01-17,1998-01-01,DELIVER IN PERSON,FOB,ly final theodolit
847332,33952,6456,1,19.00,35833.05,0.05,0.00,N,O,1997-12-21,1998-01-10,1998-01-01,TAKE BACK RETURN,FOB, furiously brave depende
1250115,139533,2047,4,11.00,17297.83,0.01,0.00,N,O,1997-12-16,1997-12-24,1998-01-01,COLLECT COD,TRUCK, quickly special accoun
742692,44365,1878,3,47.00,61539.92,0.08,0.02,N,O,1997-12-15,1998-01-30,1998-01-01,DELIVER IN PERSON,SHIP,luffy packages cajole carefully dep
5970914,159515,9516,6,10.00,15745.10,0.08,0.07,N,O,1997-12-30,1997-11-02,1998-01-01,COLLECT COD,REG AIR,"he blithe, regular theodoli"
799939,4950,2451,4,37.00,68633.15,0.04,0.00,N,O,1997-12-04,1997-09-28,1998-01-01,NONE,RAIL, foxes cajole stealthily above the express
5308034,166218,6219,1,12.00,15410.52,0.04,0.02,N,O,1997-12-24,1997-11-18,1998-01-01,DELIVER IN PERSON,MAIL,ily even deposits up
5291875,105190,211,6,29.00,34660.51,0.02,0.04,N,O,1997-12-24,1997-12-09,1998-01-01,DELIVER IN PERSON,SHIP,ronic ideas are quickly carefully ironi
889157,27440,4947,2,11.00,15041.84,0.08,0.04,N,O,1997-12-09,1998-01-12,1998-01-01,DELIVER IN PERSON,RAIL,ticing platelets again
860931,62500,19,1,29.00,42412.50,0.04,0.06,N,O,1997-12-28,1997-12-31,1998-01-01,COLLECT COD,MAIL,osits. furiousl
988741,74698,7206,1,25.00,41817.25,0.04,0.07,N,O,1997-12-09,1998-01-06,1998-01-01,COLLECT COD,RAIL,e after the furiously bold req
4804419,101370,1371,1,13.00,17827.81,0.02,0.07,N,O,1997-12-08,1997-12-31,1998-01-01,DELIVER IN PERSON,REG AIR,y ideas after the slyly pending requests n
5179968,147088,4631,4,43.00,48808.44,0.03,0.00,N,O,1997-12-21,1998-01-25,1998-01-01,DELIVER IN PERSON,AIR,foxes. fluffily ironic excuses nag accounts
4925412,109572,7103,4,2.00,3163.14,0.00,0.07,N,O,1997-12-02,1997-09-26,1998-01-01,COLLECT COD,SHIP, final requests. ironic packages haggl
1375812,8901,8902,2,23.00,41627.70,0.09,0.06,N,O,1997-12-04,1997-11-09,1998-01-01,COLLECT COD,TRUCK,"inal packages wake blithely. regular, "
5341763,159449,4480,4,21.00,31677.24,0.00,0.08,N,O,1997-12-07,1998-02-17,1998-01-01,DELIVER IN PERSON,FOB,uriously furiously dogged req
5605639,35291,7795,1,31.00,38014.99,0.03,0.02,N,O,1997-12-03,1997-12-24,1998-01-01,TAKE BACK RETURN,TRUCK,permanently ac
1126210,147307,2336,7,38.00,51463.40,0.08,0.06,N,O,1997-12-09,1997-12-31,1998-01-01,NONE,REG AIR, foxes along
747137,166496,9013,6,10.00,15624.90,0.06,0.05,N,O,1997-12-02,1998-01-23,1998-01-01,TAKE BACK RETURN,REG AIR,s could sleep
5027266,31028,8538,3,42.00,40278.84,0.09,0.01,N,O,1997-12-09,1997-12-29,1998-01-01,COLLECT COD,SHIP,inal platelets sleep furiously among t
1019330,16159,6160,5,31.00,33329.65,0.10,0.01,N,O,1997-12-06,1998-01-06,1998-01-01,NONE,TRUCK,"efully regular somas. final, "
1175713,119514,7048,5,47.00,72074.97,0.07,0.08,N,O,1997-12-15,1997-12-28,1998-01-01,DELIVER IN PERSON,AIR,eposits. carefully pending excuses
5508838,95278,7788,1,42.00,53477.34,0.04,0.02,N,O,1997-12-24,1997-12-04,1998-01-01,TAKE BACK RETURN,TRUCK,ions. blithely bold waters haggle blit
5213474,198768,8769,3,47.00,87737.72,0.06,0.03,N,O,1997-12-10,1997-11-06,1998-01-01,TAKE BACK RETURN,FOB,gularly pending 
5130375,190420,421,6,32.00,48333.44,0.07,0.02,N,O,1997-12-29,1997-10-28,1998-01-01,DELIVER IN PERSON,FOB,e furiously
679681,67981,488,5,34.00,66265.32,0.03,0.00,N,O,1997-12-04,1997-12-03,1998-01-01,DELIVER IN PERSON,SHIP,nusual accounts use quickly exp
5500289,158336,852,1,18.00,25097.94,0.08,0.02,N,O,1997-12-14,1997-11-13,1998-01-01,TAKE BACK RETURN,MAIL,"ests. final, express requests "
1097153,49036,1541,2,29.00,28565.87,0.08,0.04,N,O,1997-12-12,1997-10-22,1998-01-01,TAKE BACK RETURN,REG AIR,y special packages abo
4999968,131980,1981,1,9.00,18107.82,0.10,0.03,N,O,1997-12-10,1998-01-05,1998-01-01,TAKE BACK RETURN,FOB,equests sleep carefully across the f
1989475,28449,952,1,8.00,11019.52,0.03,0.06,N,O,1997-12-11,1997-10-18,1998-01-01,COLLECT COD,TRUCK,ss the furiously even
2356356,2998,2999,4,20.00,38019.80,0.09,0.07,N,O,1997-12-22,1997-12-19,1998-01-01,COLLECT COD,MAIL,ly special ideas. quickly final pinto 
4959526,56946,9452,6,31.00,58991.14,0.04,0.08,N,O,1997-12-28,1997-11-22,1998-01-01,NONE,MAIL,across the furiously regular req
2893924,13355,5857,2,41.00,52002.35,0.05,0.05,N,O,1997-12-29,1997-12-19,1998-01-01,NONE,MAIL,ickly bold i
2021349,116201,1224,2,19.00,23126.80,0.07,0.01,N,O,1997-12-07,1997-10-23,1998-01-01,COLLECT COD,RAIL," bold, regular reques"
2847876,30668,3172,3,46.00,73538.36,0.00,0.03,N,O,1997-12-24,1998-02-09,1998-01-01,COLLECT COD,FOB,xes are ideas-- fluffily s
777158,172895,2896,1,34.00,66908.26,0.10,0.04,N,O,1997-12-23,1997-10-21,1998-01-01,TAKE BACK RETURN,FOB,. carefully even dolphins snooze slowl
763779,8673,1174,1,16.00,25306.72,0.07,0.07,N,O,1997-12-27,1997-11-16,1998-01-01,COLLECT COD,FOB,ts. furiously bold requ
1979844,116788,9300,1,29.00,52338.62,0.06,0.04,N,O,1997-12-03,1997-12-30,1998-01-01,TAKE BACK RETURN,TRUCK,tithes haggle fluff
5436001,36512,6513,1,15.00,21727.65,0.02,0.06,N,O,1997-12-20,1997-11-16,1998-01-01,COLLECT COD,MAIL,sits are alongside of the car
2951329,84494,9511,3,4.00,5913.96,0.02,0.07,N,O,1997-12-28,1998-01-01,1998-01-01,DELIVER IN PERSON,FOB,e carefully ironic
5376805,110998,8532,4,26.00,52233.74,0.10,0.04,N,O,1997-12-17,1997-10-16,1998-01-01,COLLECT COD,SHIP,ic platelets snooze furiously b
984321,58836,6352,7,41.00,73588.03,0.00,0.02,N,O,1997-12-08,1997-09-27,1998-01-01,COLLECT COD,REG AIR,regular deposit
2522502,192860,7899,4,46.00,89831.56,0.02,0.01,N,O,1997-12-21,1998-01-02,1998-01-01,COLLECT COD,FOB,y final requests wake 
5070337,8691,1192,1,12.00,19196.28,0.02,0.06,N,O,1997-12-05,1998-01-20,1998-01-01,COLLECT COD,AIR,eas. pending forges boost fur
581408,35366,373,3,35.00,45547.60,0.09,0.00,N,O,1997-12-16,1998-01-02,1998-01-01,COLLECT COD,REG AIR, silent reque
730502,181259,3778,2,30.00,40207.50,0.07,0.07,N,O,1997-12-10,1997-12-22,1998-01-01,NONE,FOB,he furiously ironic asympto
1875300,183100,8137,3,41.00,48507.10,0.08,0.03,N,O,1997-12-25,1997-11-02,1998-01-01,COLLECT COD,REG AIR,ckages cajo
480610,83945,3946,6,44.00,84873.36,0.09,0.05,N,O,1997-12-13,1998-01-26,1998-01-01,COLLECT COD,AIR,"ress, final instructions integrate f"
4903463,34711,9718,1,5.00,8228.55,0.02,0.04,N,O,1997-12-12,1998-02-17,1998-01-01,TAKE BACK RETURN,MAIL,its cajole across the quickly quiet
754309,92118,4628,2,47.00,52175.17,0.03,0.06,N,O,1997-12-25,1998-01-06,1998-01-01,COLLECT COD,MAIL,egular accounts
548228,127818,331,7,48.00,88598.88,0.02,0.08,N,O,1997-12-14,1997-11-15,1998-01-01,DELIVER IN PERSON,MAIL,into beans wake at the c
651975,796,797,3,25.00,42419.75,0.05,0.06,N,O,1997-12-24,1997-12-08,1998-01-01,NONE,MAIL,p. final packages at the accounts
399076,99544,4563,2,23.00,35501.42,0.01,0.04,N,O,1997-12-29,1998-01-18,1998-01-01,NONE,AIR,ironic requests cajole. furious
667559,74670,4671,3,30.00,49340.10,0.03,0.02,N,O,1997-12-15,1997-12-03,1998-01-01,COLLECT COD,RAIL,arefully pendi
542305,51746,1747,2,20.00,33954.80,0.10,0.05,N,O,1997-12-26,1998-03-02,1998-01-01,NONE,RAIL,s: blithely ironic warhorses sleep f
272035,176618,9136,4,12.00,20335.32,0.09,0.05,N,O,1997-12-13,1997-11-05,1998-01-01,NONE,RAIL,eodolites detect alon
380288,106332,8843,2,10.00,13383.30,0.04,0.05,N,O,1997-12-12,1997-11-23,1998-01-01,NONE,MAIL,"ck, idle courts. slyly ironic reque"
213281,153676,1222,4,47.00,81294.49,0.02,0.05,N,O,1997-12-18,1997-11-14,1998-01-01,TAKE BACK RETURN,FOB,y ironic courts. deposits along the fu
5158497,45410,5411,7,35.00,47439.35,0.05,0.01,N,O,1997-12-27,1997-12-16,1998-01-01,COLLECT COD,RAIL,re quickly-- blithely e
216770,173243,5761,2,3.00,3948.72,0.02,0.04,N,O,1997-12-05,1997-10-06,1998-01-01,TAKE BACK RETURN,REG AIR,he regular plat
250753,136897,4437,1,33.00,63818.37,0.10,0.04,N,O,1997-12-06,1997-09-24,1998-01-01,NONE,SHIP, bold foxes wake blithely 
485539,175481,3033,1,22.00,34242.56,0.06,0.02,N,O,1997-12-28,1998-02-24,1998-01-01,COLLECT COD,FOB,riously brave
1981024,1085,8586,1,37.00,36484.96,0.08,0.02,N,O,1997-12-23,1997-11-26,1998-01-01,COLLECT COD,AIR, slyly silent deposits. regular warhors
1813859,63269,788,7,46.00,56683.96,0.06,0.02,N,O,1997-12-27,1997-12-15,1998-01-01,TAKE BACK RETURN,AIR,aggle furiously above the slyly ironic 
95140,100785,5806,4,10.00,17857.80,0.07,0.07,N,O,1997-12-21,1997-12-16,1998-01-01,COLLECT COD,REG AIR,about the packages. blit
486790,2097,7098,1,22.00,21979.98,0.01,0.02,N,O,1997-12-08,1997-10-27,1998-01-01,COLLECT COD,AIR,ts cajole 
473445,23467,974,5,27.00,37542.42,0.06,0.07,N,O,1997-12-06,1998-02-16,1998-01-01,TAKE BACK RETURN,TRUCK,sly unusual requests after the slyly f
387555,23198,705,2,39.00,43726.41,0.08,0.08,N,O,1997-12-02,1997-11-04,1998-01-01,NONE,MAIL,uests sleep quickly
1303329,21300,3803,4,43.00,52515.90,0.09,0.01,N,O,1997-12-03,1997-11-19,1998-01-01,TAKE BACK RETURN,TRUCK,y around the daringly regular deposits. 
2842785,194014,6534,1,44.00,48752.44,0.10,0.01,N,O,1997-12-05,1997-10-18,1998-01-01,NONE,REG AIR,"es above the ironic, final pinto beans wak"
2494087,136046,6047,5,32.00,34625.28,0.06,0.01,N,O,1997-12-04,1997-11-04,1998-01-01,DELIVER IN PERSON,TRUCK,ithely iro
2759236,50860,8376,2,28.00,50704.08,0.06,0.04,N,O,1997-12-26,1997-12-24,1998-01-01,COLLECT COD,RAIL,y special requests cajole f
2745440,194158,4159,3,18.00,22538.70,0.00,0.02,N,O,1997-12-02,1997-11-25,1998-01-01,TAKE BACK RETURN,REG AIR,ld deposits doubt slyly ideas. 
2596868,155358,389,1,47.00,66427.45,0.00,0.03,N,O,1997-12-12,1997-10-22,1998-01-01,DELIVER IN PERSON,SHIP,ial packages among the slyly 
5209575,188882,8883,5,42.00,82776.96,0.05,0.02,N,O,1997-12-08,1997-12-19,1998-01-01,DELIVER IN PERSON,AIR,xes sleep ab
2869217,106037,8548,2,48.00,50065.44,0.06,0.02,N,O,1997-12-23,1998-01-16,1998-01-01,DELIVER IN PERSON,SHIP, beans. furiously sp
2738656,186014,6015,2,5.00,5500.05,0.05,0.08,N,O,1997-12-02,1998-01-30,1998-01-01,DELIVER IN PERSON,REG AIR,otes are slyly final accounts. quickly per
1108551,4142,9143,3,17.00,17784.38,0.03,0.05,N,O,1997-12-27,1998-02-27,1998-01-01,COLLECT COD,FOB,"side of the ruthlessly even packages. even,"
2994149,96358,3886,1,24.00,32504.40,0.10,0.06,N,O,1997-12-15,1997-10-28,1998-01-01,NONE,FOB, slyly regular depos
2847587,104953,9974,7,34.00,66570.30,0.02,0.01,N,O,1997-12-03,1997-10-23,1998-01-01,DELIVER IN PERSON,SHIP, thrash ca
2509282,171167,6202,6,49.00,60669.84,0.05,0.05,N,O,1997-12-29,1998-01-03,1998-01-01,DELIVER IN PERSON,SHIP,ctions use. fluffily ironic hockey playe
2434978,73111,3112,4,10.00,10841.10,0.00,0.04,N,O,1997-12-22,1998-02-08,1998-01-01,NONE,REG AIR, slyly along the quickly final ac
2505607,48906,1411,3,4.00,7419.60,0.07,0.01,N,O,1997-12-26,1998-01-16,1998-01-01,TAKE BACK RETURN,FOB,". regular, unusual deposits boos"
2452896,96804,1823,3,3.00,5402.40,0.05,0.00,N,O,1997-12-04,1997-11-04,1998-01-01,COLLECT COD,SHIP, beans are blithely. slyly b
2449926,114759,7271,4,11.00,19511.25,0.05,0.01,N,O,1997-12-31,1998-02-05,1998-01-01,TAKE BACK RETURN,SHIP,ions. unusual
2959811,17966,5470,6,20.00,37679.20,0.01,0.02,N,O,1997-12-08,1997-11-08,1998-01-01,DELIVER IN PERSON,AIR,uriously slyly dogged deposits. 
2757985,66788,4307,1,22.00,38605.16,0.10,0.05,N,O,1997-12-29,1998-01-26,1998-01-01,NONE,TRUCK,"ly. final,"
2928773,40745,746,2,31.00,52257.94,0.03,0.00,N,O,1997-12-31,1998-01-03,1998-01-01,COLLECT COD,AIR,equests use slyly. unusual request
760706,41159,8672,5,8.00,8801.20,0.07,0.05,N,O,1997-12-05,1998-01-18,1998-01-01,DELIVER IN PERSON,TRUCK,"ending, unusual brai"
2533383,171974,9526,2,40.00,81838.80,0.00,0.04,N,O,1997-12-30,1998-03-15,1998-01-01,NONE,SHIP,y regular deposits. quic
2515623,126655,6656,3,11.00,18498.15,0.10,0.01,N,O,1997-12-18,1998-01-20,1998-01-01,TAKE BACK RETURN,SHIP, accounts. requests wake. silent accounts h
